id,ort,namn,dag,manad,AnvNamn,modified,datum
1315,"Hamar","Rica Hotel Hamar/Olrud",19,10,"Monica","2012-05-21 10:11:12","2012-10-19 00:00:00"
1319,"Mora","Moraparken",1,12,"Monica","2012-08-13 12:42:48","2012-12-01 00:00:00"
1321,"Trondheim/Hell","Rica Hell Hotel",7,12,"Monica","2012-08-13 12:43:58","2012-12-07 00:00:00"
1322,"Trondheim/Hell","Rica Hell Hotel",8,12,"Monica","2012-08-13 12:44:16","2012-12-08 00:00:00"
1323,"Kristianstad","FP Sommarlust",14,12,"Monica","2012-08-13 12:44:50","2012-12-14 00:00:00"
1324,"Kristianstad","FP Sommarlust",15,12,"Monica","2012-08-13 12:45:11","2012-12-15 00:00:00"
1325,"Falköping","Folkets Park",5,1,"Monica","2012-08-31 11:36:28","2013-01-05 00:00:00"
1326,"Hamar","Rica Hotel Hamar/Olrud",18,1,"Monica","2012-08-31 11:37:26","2013-01-18 00:00:00"
1327,"Röros","Idrettshallen",19,1,"Monica","2012-08-31 11:38:11","2013-01-19 00:00:00"
1331,"Motala","Folkets Park",1,3,"Monica","2012-10-02 11:34:02","2013-03-01 00:00:00"
1332,"Södra Vi","Pumpen",2,3,"Monica","2012-10-02 11:34:32","2013-03-02 00:00:00"
1333,"Halmstad","Folkets Park",15,3,"Monica","2012-10-02 11:36:03","2013-03-15 00:00:00"
1339,"Gol","Storefjell Hotel",31,5,"Monica","2012-11-23 10:38:40","2013-05-31 00:00:00"
1340,"Bingolotto","TV4",6,1,"Monica","2012-11-06 13:34:59","2013-01-06 00:00:00"
1342,"Norge","Se hemsida",10,5,"Monica","2012-11-06 13:37:17","2013-05-10 00:00:00"
1343,"Sortland","Blåbyhallen",11,5,"Monica","2013-02-26 10:40:58","2013-05-11 00:00:00"
1344,"Molde","Rica Seilet",19,4,"Monica","2012-12-17 15:34:38","2013-04-19 00:00:00"
1345,"Åheim","Idrettshallen",20,4,"Monica","2012-12-17 15:33:52","2013-04-20 00:00:00"
1346,"Ystad","Folkets Park",18,5,"Monica","2012-11-06 13:40:55","2013-05-18 00:00:00"
1348,"Stenungsund","Stenungsbaden",15,2,"Monica","2012-11-22 10:12:27","2013-02-15 00:00:00"
1351,"Nyköping","Träffen",22,2,"Monica","2012-12-19 14:39:02","2013-02-22 00:00:00"
1354,"Forshaga","Meddelas",13,7,"Monica","2013-01-31 15:07:53","2013-07-13 00:00:00"
1356,"Skirö","Festplatsen",29,6,"Monica","2013-02-26 16:04:16","2013-06-29 00:00:00"
1357,"Lysvik","Canisparken",28,6,"Monica","2013-02-26 16:04:48","2013-06-28 00:00:00"
1358,"Ed","Trivselkväll vid Timmerhusen",27,6,"Monica","2013-02-26 16:05:47","2013-06-27 00:00:00"
1360,"Kalmar","Larmtorget",8,8,"Monica","2013-02-27 15:58:51","2013-08-08 00:00:00"
1361,"Nässjö","Björnholmens Loge",23,8,"Monica","2013-03-07 15:11:55","2013-08-23 00:00:00"
1362,"Hagfors","Folkets Park",24,8,"Monica","2013-03-07 15:12:21","2013-08-24 00:00:00"
1328,"Norrköping","Borgen",25,1,"Monica","2012-08-31 11:38:50","2013-01-25 00:00:00"
1329,"Munkfors","FH",26,1,"Monica","2012-08-31 11:39:39","2013-01-26 00:00:00"
1330,"Arvika","Folkets Park",12,1,"Monica","2012-08-31 11:40:08","2013-01-12 00:00:00"
1334,"Kungälv","Idrottshallen",31,3,"Monica","2012-11-26 15:33:17","2013-03-31 00:00:00"
1335,"Tanumstrand","Tanum Hotell & Konferens",11,1,"Monica","2012-10-04 11:25:20","2013-01-11 00:00:00"
1336,"Stockholm","Birka Paradise",20,3,"Monica","2012-10-09 14:20:57","2013-03-20 00:00:00"
1337,"Tibro","FP",8,2,"Monica","2012-10-11 10:03:00","2013-02-08 00:00:00"
1338,"Säffle","MB",16,2,"Monica","2012-10-11 10:03:44","2013-02-16 00:00:00"
1349,"Hafjell","Quality Hotel & Resort",29,3,"Monica","2012-11-22 10:13:58","2013-03-29 00:00:00"
1350,"Boden","Western Farm",22,3,"Monica","2012-11-22 10:59:24","2013-03-22 00:00:00"
1352,"Hudiksvall","Kulturhuset Glada Hudik",23,2,"Monica","2013-01-23 15:07:11","2013-02-23 00:00:00"
1353,"Stockholm","Grammisgalan 2013",20,2,"Monica","2012-12-19 14:41:19","2013-02-20 00:00:00"
1359,"Göteborg","Göteborgskalaset",13,8,"Monica","2013-02-27 15:57:06","2013-08-13 00:00:00"
1363,"Oslo","Color Fantasy",25,8,"Monica","2013-03-07 15:12:43","2013-08-25 00:00:00"
1364,"Oslo","Color Fantasy",26,8,"Monica","2013-03-07 15:12:59","2013-08-26 00:00:00"
1365,"Fågelfors","Folkets Park",31,8,"Monica","2013-03-07 15:13:49","2013-08-31 00:00:00"
