SkivID,Titel,Label,SkivTypID,UtgivningsAr,ImageUrlSmall,ImageUrlBig,ImageUrlBigBack
42,"Vid En Liten Fiskehamn","Mariann MLPH 1501",3,1981,"/images/diskografi/thumbnails/1981.Vid en liten fiskehamn.Framsida.jpg","/images/diskografi/images/1981.Vid en liten fiskehamn.Framsida.jpg",
43,"Rallarsväng","Warner Music Sweden AB 5051442-8386-2-6",1,2008,"/images/diskografi/thumbnails/2008.Rallarsväng. Framsida.jpg","/images/diskografi/images/2008.Rallarsväng.Framsida.jpg","/images/diskografi/images/2008.Rallarsväng.Baksida.jpg"
45,"Kära Rut","Habima HS 7015",4,1970,,,
46,"Snurrande Hjul","Habima HS 7028",4,1972,,,
47,"Habima Tvärsnitt","Habima HSTS 2-7710",4,1977,,,
48,"Sommarsvärmeri","Habima HS 7768",4,1977,,,
49,"Heaven Just A Sin Away","Habima HS 7802",4,1978,,,
50,"Be My Boogie Woogie Baby","Habima LS 001",4,1978,,,
51,"Vid En Liten Fiskehamn","Mariann Rec MAS 2320",4,1981,,,
52,"Oh Julie","Mariann Rec MAS 2346",4,1982,,,
53,"Hej Fröken Sommar","Mariann Rec MAS 2447",4,1986,,,
54,"Världens Lyckligaste Par","Mariann Rec MAS 2466",4,1986,,,
55,"Lassie","TMC MAS 2491",4,1987,,,
56,"Det Här Är Bara Början","Team Mariann TMCS 006",4,1988,,,
57,"Det Här Är Bara Början Än","Frituna 1224",4,1988,,,
58,"En Enda Signal","Frituna 1235 7",4,1989,,,
59,"Mot Nya Mål","Frituna 1247 7",4,1989,,,
60,"Vindarnas Sång","Frituna 1274 7",4,1991,,,
61,"Fredens Duva","Frituna 1277 7",4,1991,,,
62,"Hallå Min Sol","Frituna 1291 2",2,1991,,,
63,"En Gång Är Ingen Gång","Frituna 1296 2",2,1992,,,
64,"De 30 Gångna Åren","Frituna 1304 2",2,1992,,,
65,"Jag Väntat Många Dagar","Frituna 1315 2",2,1993,,,
66,"Du Försvann Som En Vind","Frituna 1329 1",2,1994,,,
67,"Jag Ångrar Ingenting","Frituna 1342 2",2,1994,,,
68,"Midsommarafton","Frituna 1362 1",2,1995,,,
69,"Rolf Ren","Frituna 1383 1",2,1995,,,
70,"Dig Vil Jeg Elske","Frituna 0306 2",1,1996,"/images/diskografi/thumbnails/1997.Dig vil jeg elske.Framsida.jpg","/images/diskografi/images/1997.Dig vil jeg elske.Framsida.jpg",
71,"Du Och Jag","Frituna 1390 1",2,1996,,,
72,"Dig Ska Jag Älska","Frituna 1393 1",2,1996,,,
73,"Dig Vil Jeg Elske","Frituna 1408 1",2,1996,,,
74,"Av Hela Mitt Hjärta","Frituna 1401 1",2,1996,,,
75,"God Jul","LS Musik 9601",2,1996,,,
76,"Juletid","Frituna 1437 1",2,1997,,,
77,"Tomma Löften Tomma Ord","Frituna 1440 1",2,1998,,,
78,"I Ett Fotoalbum","Frituna 1455 1",2,1998,,,
79,"Öven En Kopp I VÅr Berså","Frituna 1480 1",2,1999,,,
80,"Vår Kärlek Är Stark","Frituna 1492 1",2,1999,,,
